Code,Name,GeographicLevel,CityClass,IncomeClassification,UrbanRural,Population
012812026,Bgy. No. 32-C La Paz East,Bgy,,,R,1693
012812027,"Bgy. No. 33-B, La Paz Proper",Bgy,,,R,1052
012812028,"Bgy. No. 32-B, La Paz West",Bgy,,,R,1065
012812029,"Bgy. No. 54-A, Lagui-Sail",Bgy,,,R,2372
012812030,"Bgy. No. 32-A, La Paz East",Bgy,,,R,1433
012812031,"Bgy. No. 33-A, La Paz Proper",Bgy,,,R,1113
012812032,"Bgy. No. 52-B, Lataag",Bgy,,,R,876
012812033,"Bgy. No. 60-B, Madiladig",Bgy,,,R,1469
012812034,"Bgy. No. 38-A, Mangato East",Bgy,,,R,1040
012812035,"Bgy. No. 38-B, Mangato West",Bgy,,,R,1188
012812036,"Bgy. No. 62-A, Navotas North",Bgy,,,R,796
012812037,"Bgy. No. 62-B, Navotas South",Bgy,,,R,912
012812038,"Bgy. No. 46, Nalbo",Bgy,,,R,2401
012812039,"Bgy. No. 51-A, Nangalisan East",Bgy,,,U,1510
012812040,"Bgy. No. 51-B, Nangalisan West",Bgy,,,U,814
012812041,"Bgy. No. 24, Nstra. Sra. De Consolacion (Pob.)",Bgy,,,R,1054
012812042,"Bgy. No. 7-A, Nstra. Sra. De Natividad (Pob.)",Bgy,,,U,1131
012812043,"Bgy. No. 7-B, Nstra. Sra. De Natividad (Pob.)",Bgy,,,R,968
012812044,"Bgy. No. 27, Nstra. Sra. De Soledad (Pob.)",Bgy,,,U,1618
012812045,"Bgy. No. 13, Nstra. Sra. De Visitacion (Pob.)",Bgy,,,U,1443
012812046,"Bgy. No. 3, Nstra. Sra. Del Rosario (Pob.)",Bgy,,,U,1189
012812047,"Bgy. No. 57, Pila",Bgy,,,R,1866
012812048,"Bgy. No. 49-B, Raraburan",Bgy,,,R,1658
012812049,"Bgy. No. 53, Rioeng",Bgy,,,U,1616
012812050,"Bgy. No. 55-B, Salet-Bulangon",Bgy,,,U,2521
012812053,"Bgy. No. 6, San Agustin (Pob.)",Bgy,,,R,1371
012812054,"Bgy. No. 22, San Andres (Pob.)",Bgy,,,U,1065
012812055,"Bgy. No. 28, San Bernardo (Pob.)",Bgy,,,R,1758
012812056,"Bgy. No. 17, San Francisco (Pob.)",Bgy,,,U,708
012812057,"Bgy. No. 4, San Guillermo (Pob.)",Bgy,,,U,1256
012812058,"Bgy. No. 15, San Guillermo (Pob.)",Bgy,,,U,1098
012812059,"Bgy. No. 12, San Isidro (Pob.)",Bgy,,,U,1607
012812060,"Bgy. No. 16, San Jacinto (Pob.)",Bgy,,,U,1060
012812061,"Bgy. No. 10, San Jose (Pob.)",Bgy,,,U,1005
012812062,"Bgy. No. 1, San Lorenzo (Pob.)",Bgy,,,U,4733
012812063,"Bgy. No. 26, San Marcelino (Pob.)",Bgy,,,R,963
012812064,"Bgy. No. 52-A, San Mateo",Bgy,,,R,629
012812065,"Bgy. No. 23, San Matias (Pob.)",Bgy,,,R,2857
012812066,"Bgy. No. 20, San Miguel (Pob.)",Bgy,,,U,1029
012812067,"Bgy. No. 21, San Pedro (Pob.)",Bgy,,,R,1349
012812068,"Bgy. No. 5, San Pedro (Pob.)",Bgy,,,U,1723
012812069,"Bry. No. 18, San Quirino (Pob.)",Bgy,,,R,723
012812070,"Bgy. No. 8, San Vicente (Pob.)",Bgy,,,U,1042
012812071,"Bgy. No. 9, Santa Angela (Pob.)",Bgy,,,U,802
012812072,"Bgy. No. 11, Santa Balbina (Pob.)",Bgy,,,U,1365
012812073,"Bgy. No. 25, Santa Cayetana (Pob.)",Bgy,,,R,1201
012812074,"Bgy. No. 2, Santa Joaquina (Pob.)",Bgy,,,U,2568
012812075,"Bgy. No. 19, Santa Marcela (Pob.)",Bgy,,,U,1144
012812076,"Bgy. No. 30-B, Santa Maria",Bgy,,,R,1516
012812077,"Bgy. No. 39, Santa Rosa",Bgy,,,R,789
012812078,"Bgy. No. 14, Santo Tomas (Pob.)",Bgy,,,U,1147
012812079,"Bgy. No. 29, Santo Tomas (Pob.)",Bgy,,,R,1330
012812080,"Bgy. No. 30-A, Suyo",Bgy,,,U,762
012812081,"Bgy. No. 31, Talingaan",Bgy,,,R,1616
012812082,"Bgy. No. 45, Tangid",Bgy,,,R,997
012812083,"Bgy. No. 55-C, Vira",Bgy,,,R,1377
012812084,"Bgy. No. 44, Zamboanga",Bgy,,,R,1331
012813000,MARCOS,Mun,,4th,,17777
012813001,Pacifico (Agunit),Bgy,,,R,1755
012813003,Imelda (Capariaan),Bgy,,,R,865
012813004,Elizabeth (Culao),Bgy,,,R,1288
012813005,Daquioag,Bgy,,,R,1726
012813006,Escoda,Bgy,,,R,2068
012813007,Ferdinand,Bgy,,,U,945
012813008,Fortuna,Bgy,,,R,1127
012813009,Lydia (Pob.),Bgy,,,R,2270
012813010,Mabuti,Bgy,,,R,1122
012813011,Valdez (Biding),Bgy,,,R,1096
012813012,Tabucbuc (Ragas),Bgy,,,R,1716
012813013,Santiago,Bgy,,,R,1410
012813014,Cacafean,Bgy,,,R,389
012814000,NUEVA ERA,Mun,,3rd,,9506
012814001,Acnam,Bgy,,,R,609
012814002,Barangobong,Bgy,,,R,370
012814003,Barikir,Bgy,,,R,527
012814004,Bugayong,Bgy,,,R,723
012814005,Cabittauran,Bgy,,,R,1000
012814006,Caray,Bgy,,,R,763
012814007,Garnaden,Bgy,,,R,616
012814008,Naguillan (Pagpag-ong),Bgy,,,R,888
012814009,Poblacion,Bgy,,,R,2196
012814010,Santo Niño,Bgy,,,R,962
012814011,Uguis,Bgy,,,R,852
012815000,PAGUDPUD,Mun,,4th,,23770
012815001,Aggasi,Bgy,,,R,667
012815003,Baduang,Bgy,,,R,1103
012815004,Balaoi,Bgy,,,U,1934
012815005,Burayoc,Bgy,,,R,1509
012815006,Caunayan,Bgy,,,R,1382
012815007,Dampig,Bgy,,,R,1015
012815008,Ligaya,Bgy,,,R,997
012815010,Pancian,Bgy,,,R,2205
012815011,Pasaleng,Bgy,,,R,1727
012815012,Poblacion 1,Bgy,,,R,2536
012815013,Poblacion 2,Bgy,,,R,2942
012815014,Saguigui,Bgy,,,R,872
012815015,Saud,Bgy,,,R,1551
012815016,Subec,Bgy,,,R,1557
012815017,Tarrag,Bgy,,,R,934
012815018,Caparispisan,Bgy,,,R,839
012816000,PAOAY,Mun,,4th,,24866
012816001,Bacsil,Bgy,,,R,665
012816002,Cabagoan,Bgy,,,R,547
012816003,Cabangaran,Bgy,,,R,407
012816004,Callaguip,Bgy,,,R,1970
012816005,Cayubog,Bgy,,,R,508
012816006,Dolores,Bgy,,,U,514
012816007,Laoa,Bgy,,,R,344
012816008,Masintoc,Bgy,,,R,631
012816009,Monte,Bgy,,,R,693
012816010,Mumulaan,Bgy,,,R,768
012816011,Nagbacalan,Bgy,,,R,3008
012816012,Nalasin,Bgy,,,R,1286
012816013,Nanguyudan,Bgy,,,R,669
012816014,Oaig-Upay-Abulao,Bgy,,,R,641
012816015,Pambaran,Bgy,,,R,237
012816016,Pannaratan (Pob.),Bgy,,,R,236
012816017,Paratong,Bgy,,,R,1118
012816018,Pasil,Bgy,,,R,1031
012816019,Salbang (Pob.),Bgy,,,U,689
012816020,San Agustin,Bgy,,,R,1008
012816021,San Blas (Pob.),Bgy,,,R,249
012816022,San Juan,Bgy,,,R,267
012816025,San Pedro,Bgy,,,U,647
012816028,San Roque (Pob.),Bgy,,,R,1195
012816029,Sangladan Pob. (Nalbuan),Bgy,,,R,427
012816030,Santa Rita (Pob.),Bgy,,,R,706
012816031,Sideg,Bgy,,,R,459
012816032,Suba,Bgy,,,R,1579
012816033,Sungadan,Bgy,,,R,1309
012816034,Surgui,Bgy,,,R,794
012816035,Veronica,Bgy,,,R,264
012817000,PASUQUIN,Mun,,3rd,,28980
012817001,Batuli,Bgy,,,R,376
012817002,Binsang,Bgy,,,R,862
012817003,Nalvo (Cababaan-Nalvo),Bgy,,,R,522
012817004,Caruan,Bgy,,,R,1275
012817005,Carusikis,Bgy,,,R,776
012817006,Carusipan,Bgy,,,R,480
012817007,Dadaeman,Bgy,,,R,340
012817008,Darupidip,Bgy,,,R,306
012817009,Davila,Bgy,,,R,4123
012817010,Dilanis,Bgy,,,R,402
012817011,Dilavo,Bgy,,,R,574
012817012,Estancia,Bgy,,,R,1024
012817014,Naglicuan,Bgy,,,R,1642
012817015,Nagsanga,Bgy,,,R,1293
012817016,Ngabangab,Bgy,,,R,726
012817017,Pangil,Bgy,,,R,430
012817018,Poblacion 1,Bgy,,,R,1175
012817019,Poblacion 2,Bgy,,,R,1919
012817020,Poblacion 3,Bgy,,,R,1035
012817021,Poblacion 4,Bgy,,,R,1412
012817022,Pragata (Pragata-Bungro),Bgy,,,R,520
012817023,Puyupuyan,Bgy,,,R,798
012817024,Sulongan,Bgy,,,R,442
012817025,Salpad,Bgy,,,R,586
012817026,San Juan,Bgy,,,R,1475
012817027,Santa Catalina,Bgy,,,R,917
012817028,Santa Matilde,Bgy,,,R,406
012817029,Sapat,Bgy,,,R,62
012817030,Sulbec,Bgy,,,R,816
012817031,Surong,Bgy,,,R,334
012817032,Susugaen,Bgy,,,R,1364
012817033,Tabungao,Bgy,,,R,215
012817034,Tadao,Bgy,,,R,353
012818000,PIDDIG,Mun,,3rd,,21497
