"","date","confirm","region"
"356",2021-11-20,0,"101800000"
"357",2021-11-21,1,"101800000"
"358",2021-11-22,0,"101800000"
"359",2021-11-23,0,"101800000"
"360",2021-11-24,0,"101800000"
"361",2021-11-25,0,"101800000"
"362",2021-11-26,1,"101800000"
"363",2021-11-27,0,"101800000"
"364",2021-11-28,0,"101800000"
"365",2021-11-29,0,"101800000"
"366",2021-11-30,0,"101800000"
"367",2021-12-01,0,"101800000"
"368",2021-12-02,0,"101800000"
"369",2021-12-03,0,"101800000"
"370",2021-12-04,1,"101800000"
"371",2021-12-05,0,"101800000"
"372",2021-12-06,0,"101800000"
"373",2021-12-07,1,"101800000"
"374",2021-12-08,0,"101800000"
"375",2021-12-09,0,"101800000"
"376",2021-12-10,0,"101800000"
"377",2021-12-11,0,"101800000"
"378",2021-12-12,0,"101800000"
"379",2021-12-13,0,"101800000"
"380",2021-12-14,0,"101800000"
"381",2021-12-15,0,"101800000"
"382",2021-12-16,1,"101800000"
"383",2021-12-17,1,"101800000"
"384",2021-12-18,0,"101800000"
"385",2021-12-19,0,"101800000"
"386",2021-12-20,0,"101800000"
"387",2021-12-21,0,"101800000"
"388",2021-12-22,0,"101800000"
"389",2021-12-23,0,"101800000"
"390",2021-12-24,0,"101800000"
"391",2021-12-25,0,"101800000"
"392",2021-12-26,0,"101800000"
"393",2021-12-27,0,"101800000"
"394",2021-12-28,0,"101800000"
"395",2021-12-29,1,"101800000"
"396",2021-12-30,0,"101800000"
"397",2021-12-31,0,"101800000"
"398",2022-01-01,0,"101800000"
"399",2022-01-02,0,"101800000"
"400",2022-01-03,0,"101800000"
"401",2022-01-04,0,"101800000"
"402",2022-01-05,0,"101800000"
"403",2022-01-06,1,"101800000"
"404",2022-01-07,0,"101800000"
"405",2022-01-08,0,"101800000"
"406",2022-01-09,0,"101800000"
"407",2022-01-10,0,"101800000"
"408",2022-01-11,3,"101800000"
"409",2022-01-12,2,"101800000"
"410",2022-01-13,0,"101800000"
"411",2022-01-14,0,"101800000"
"412",2022-01-15,2,"101800000"
"413",2022-01-16,1,"101800000"
"414",2022-01-17,0,"101800000"
"415",2022-01-18,1,"101800000"
"416",2022-01-19,1,"101800000"
"417",2022-01-20,1,"101800000"
"418",2022-01-21,8,"101800000"
"419",2022-01-22,18,"101800000"
"420",2022-01-23,9,"101800000"
"421",2022-01-24,19,"101800000"
"422",2022-01-25,11,"101800000"
"423",2022-01-26,11,"101800000"
"424",2022-01-27,2,"101800000"
"425",2022-01-28,29,"101800000"
"426",2022-01-29,22,"101800000"
"427",2022-01-30,41,"101800000"
"428",2022-01-31,23,"101800000"
"429",2022-02-01,25,"101800000"
"430",2022-02-02,8,"101800000"
"431",2022-02-03,0,"101800000"
"432",2022-02-04,4,"101800000"
"433",2022-02-05,19,"101800000"
"434",2022-02-06,57,"101800000"
"435",2022-02-07,0,"101800000"
"436",2022-02-08,44,"101800000"
"437",2022-02-09,0,"101800000"
"438",2022-02-10,10,"101800000"
"439",2022-02-11,10,"101800000"
"440",2022-02-12,9,"101800000"
"441",2022-02-13,1,"101800000"
"442",2022-02-14,0,"101800000"
"443",2022-02-15,2,"101800000"
"444",2022-02-16,1,"101800000"
"445",2022-02-17,3,"101800000"
"446",2022-02-18,0,"101800000"
"447",2022-02-19,9,"101800000"
"448",2022-02-20,4,"101800000"
"449",2021-11-01,16,"103500000"
"450",2021-11-02,5,"103500000"
"451",2021-11-03,10,"103500000"
"452",2021-11-04,2,"103500000"
"453",2021-11-05,1,"103500000"
"454",2021-11-06,7,"103500000"
"455",2021-11-07,8,"103500000"
"456",2021-11-08,14,"103500000"
"457",2021-11-09,2,"103500000"
"458",2021-11-10,11,"103500000"
"459",2021-11-11,8,"103500000"
"460",2021-11-12,4,"103500000"
"461",2021-11-13,0,"103500000"
"462",2021-11-14,9,"103500000"
"463",2021-11-15,2,"103500000"
"464",2021-11-16,20,"103500000"
"465",2021-11-17,5,"103500000"
"466",2021-11-18,3,"103500000"
"467",2021-11-19,1,"103500000"
"468",2021-11-20,6,"103500000"
"469",2021-11-21,3,"103500000"
"470",2021-11-22,4,"103500000"
"471",2021-11-23,0,"103500000"
"472",2021-11-24,2,"103500000"
"473",2021-11-25,0,"103500000"
"474",2021-11-26,1,"103500000"
"475",2021-11-27,5,"103500000"
"476",2021-11-28,4,"103500000"
"477",2021-11-29,1,"103500000"
"478",2021-11-30,1,"103500000"
"479",2021-12-01,1,"103500000"
"480",2021-12-02,2,"103500000"
"481",2021-12-03,4,"103500000"
"482",2021-12-04,2,"103500000"
"483",2021-12-05,3,"103500000"
