,X,Bgy_Code,cases_7,cases_14,infection_rate,classification,population,AR_7,AR_14,AR_cumulative,AR_active,linelist_date
29704,13,83701033,0,0,0,NA,0,0,0,0,0,2021-11-14
29705,14,83701016,0,0,0,NA,0,0,0,0,0,2021-11-14
29706,15,83701007,0,0,0,NA,0,0,0,0,0,2021-11-14
29707,16,83701004,0,0,0,NA,0,0,0,0,0,2021-11-14
29708,17,83701041,0,0,0,NA,0,0,0,0,0,2021-11-14
29709,18,83701013,0,0,0,NA,0,0,0,0,0,2021-11-14
29710,19,83701029,0,0,0,NA,0,0,0,0,0,2021-11-14
29711,20,83701019,0,0,0,NA,0,0,0,0,0,2021-11-14
29712,21,83701025,0,0,0,NA,0,0,0,0,0,2021-11-14
29713,22,83701057,0,0,0,NA,0,0,0,0,0,2021-11-14
29714,23,83701052,0,0,0,NA,0,0,0,0,0,2021-11-14
29715,24,83701038,0,0,0,NA,0,0,0,0,0,2021-11-14
29716,25,83701008,0,0,0,NA,0,0,0,0,0,2021-11-14
29717,26,83701009,0,0,0,NA,0,0,0,0,0,2021-11-14
29718,27,83701037,0,0,0,NA,0,0,0,0,0,2021-11-14
29719,28,83701021,0,0,0,NA,0,0,0,0,0,2021-11-14
29720,29,83701045,0,2,32.5732899,1,614,0,32.5732899,65.1465798,16.28664495,2021-11-14
29721,30,83701049,0,0,0,NA,0,0,0,0,0,2021-11-14
29722,31,83701001,0,0,0,NA,0,0,0,0,0,2021-11-14
29723,32,83701002,0,0,0,NA,0,0,0,0,0,2021-11-14
29724,33,83701003,0,0,0,NA,0,0,0,0,0,2021-11-14
29725,34,83701005,0,0,0,NA,0,0,0,0,0,2021-11-14
29726,35,83701006,0,0,0,NA,0,0,0,0,0,2021-11-14
29727,36,83701010,0,0,0,1,0,0,0,0,0,2021-11-14
29728,37,83701011,0,0,0,NA,0,0,0,0,0,2021-11-14
29729,38,83701015,0,1,4.688232536,NA,2133,0,4.688232536,314.1115799,0,2021-11-14
29730,39,83701017,0,0,0,NA,0,0,0,0,0,2021-11-14
29731,40,83701018,0,0,0,NA,0,0,0,0,0,2021-11-14
29732,41,83701020,0,0,0,NA,0,0,0,0,0,2021-11-14
29733,42,83701022,0,0,0,NA,0,0,0,0,0,2021-11-14
29734,43,83701023,0,0,0,NA,0,0,0,0,0,2021-11-14
29735,44,83701026,0,0,0,NA,0,0,0,0,0,2021-11-14
29736,45,83701028,0,0,0,NA,0,0,0,0,0,2021-11-14
29737,46,83701030,0,0,0,NA,0,0,0,0,0,2021-11-14
29738,47,83701034,0,0,0,NA,0,0,0,0,0,2021-11-14
29739,48,83701036,0,0,0,1,0,0,0,0,0,2021-11-14
29740,49,83701039,0,1,15.77287066,NA,634,0,15.77287066,993.6908517,0,2021-11-14
29741,50,83701040,0,0,0,NA,0,0,0,0,0,2021-11-14
29742,51,83701042,0,0,0,NA,0,0,0,0,0,2021-11-14
29743,52,83701043,0,0,0,NA,0,0,0,0,0,2021-11-14
29744,53,83701044,0,0,0,NA,0,0,0,0,0,2021-11-14
29745,54,83701046,0,0,0,NA,0,0,0,0,0,2021-11-14
29746,55,83701047,0,0,0,NA,0,0,0,0,0,2021-11-14
29747,56,83701048,0,0,0,NA,0,0,0,0,0,2021-11-14
29748,57,83701053,0,0,0,NA,0,0,0,0,0,2021-11-14
29749,58,83701054,0,0,0,NA,0,0,0,0,0,2021-11-14
29750,59,83701056,0,0,0,NA,0,0,0,0,0,2021-11-14
29751,60,83701058,0,0,0,NA,0,0,0,0,0,2021-11-14
29752,61,83701059,0,0,0,NA,0,0,0,0,0,2021-11-14
29753,62,83701060,0,0,0,NA,0,0,0,0,0,2021-11-14
29754,63,83701063,0,0,0,NA,0,0,0,0,0,2021-11-14
29755,1,83702040,0,0,0,NA,0,0,0,0,0,2021-11-14
29756,2,83702055,0,0,0,NA,0,0,0,0,0,2021-11-14
29757,3,83702025,0,0,0,NA,0,0,0,0,0,2021-11-14
29758,4,83702036,0,2,13.49527665,NA,1482,0,13.49527665,134.9527665,6.747638327,2021-11-14
29759,5,83702007,0,0,0,NA,0,0,0,0,0,2021-11-14
29760,6,83702049,0,0,0,NA,0,0,0,0,0,2021-11-14
29761,7,83702005,0,0,0,NA,0,0,0,0,0,2021-11-14
29762,8,83702008,0,0,0,NA,0,0,0,0,0,2021-11-14
29763,9,83702011,0,0,0,NA,0,0,0,0,0,2021-11-14
29764,10,83702037,0,0,0,NA,0,0,0,0,0,2021-11-14
29765,11,83702029,1,1,8.19000819,NA,1221,8.19000819,8.19000819,81.9000819,8.19000819,2021-11-14
29766,12,83702031,0,0,0,NA,0,0,0,0,0,2021-11-14
29767,13,83702053,0,0,0,NA,0,0,0,0,0,2021-11-14
29768,14,83702024,0,0,0,NA,0,0,0,0,0,2021-11-14
29769,15,83702048,0,0,0,NA,0,0,0,0,0,2021-11-14
29770,16,83702014,0,0,0,NA,0,0,0,0,0,2021-11-14
29771,17,83702051,0,0,0,NA,0,0,0,0,0,2021-11-14
29772,18,83702004,0,0,0,1,0,0,0,0,0,2021-11-14
29773,19,83702023,0,0,0,NA,0,0,0,0,0,2021-11-14
29774,20,83702013,0,1,9.643201543,NA,1037,0,9.643201543,9.643201543,0,2021-11-14
29775,21,83702022,0,0,0,NA,0,0,0,0,0,2021-11-14
29776,22,83702015,0,0,0,NA,0,0,0,0,0,2021-11-14
29777,23,83702032,0,0,0,NA,0,0,0,0,0,2021-11-14
29778,24,83702044,0,0,0,NA,0,0,0,0,0,2021-11-14
29779,25,83702002,0,0,0,NA,0,0,0,0,0,2021-11-14
29780,26,83702027,0,0,0,NA,0,0,0,0,0,2021-11-14
