"","X","Bgy_Code","cases_7","cases_14","infection_rate","classification","population","AR_7","AR_14","AR_cumulative","AR_active","linelist_date"
"7642",22,153815036,0,0,0,1,0,0,0,0,0,2022-04-17
"7643",23,153815025,2,2,2.66418009857466,1,7507,2.66418009857466,2.66418009857466,418.276275476222,2.66418009857466,2022-04-17
"7644",1,153824003,0,0,0,NA,0,0,0,0,0,2022-04-17
"7645",2,153824010,0,0,0,NA,0,0,0,0,0,2022-04-17
"7646",3,153824001,0,0,0,1,0,0,0,0,0,2022-04-17
"7647",4,153824008,0,0,0,NA,0,0,0,0,0,2022-04-17
"7648",5,153824009,0,0,0,NA,0,0,0,0,0,2022-04-17
"7649",6,153824013,0,0,0,NA,0,0,0,0,0,2022-04-17
"7650",7,153824002,0,0,0,NA,0,0,0,0,0,2022-04-17
"7651",8,153824004,0,0,0,NA,0,0,0,0,0,2022-04-17
"7652",9,153824005,0,0,0,NA,0,0,0,0,0,2022-04-17
