pop,equar,first_date,equar_date,lambdaValues,tau,beta,c,omega,theta,r,deltaA,epsT,deltaS,E0,IA0,IS0,startProjection_date,FittedTo,Convergence,fitness,distance,Geographical.Level,Geographical.Place,C0,mu,popMultiplier,area
12029,6;36;67;97;128;159;187;218,2020-08-26,2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.427987436981834;0.558727982017978;0.376712273495156;0;0.710165083537596;0.95;0;0,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,52,0.972332454,3.074466383,muncity,Lezo,0,4.05E-05,0.75,60408000
22313,16;46;77;107;138;169;199;230;260;291;322;350;381,2020-03-16,2020-03-31;2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.949999932453858;0.95;0.260281466677956;0.263539263540619;0.680232888426577;0.599725914356318;0.6058033906798;0.275358158670139;0.176837189757937;0.278891957775403;0.305677265837066;0.666261441232799;0.666261441232799,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,1,0.988340906,1.542202431,muncity,Libacao,1,4.05E-05,0.75,60409000
21541,14;45;75;106;136;167;198;226;257,2020-07-18,2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.95;0.608962596749653;0.273414232847018;0.513643455425349;0.437361242265095;0.457164465185126;0.229093398479625;0.226031080962292;0.226031080962292,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.989968644,1.144483526,muncity,Makato,1,4.05E-05,0.75,60411000
41856,14;44;75;105;136;167;197;228;258;289;320;348;379,2020-03-18,2020-03-31;2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.94998557989423;0.829990489375341;0.780956267427967;0.357199381184556;0.511141454229292;0.331371794848393;0.625568241787574;0.23721003236779;0;0.273647944570378;0.811980240115312;0.160391081643263;0.160391081643263,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,52,0.971578489,2.058368814,muncity,Malay,1,4.05E-05,0.75,60412000
18326,26;57;88;118;149;179;210;241;269;300,2020-06-05,2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.949999779509905;0.51684094662666;0.236611489242012;0.44261291284881;0.255139983715691;0.56398267230809;0.719030205280023;0.364481286495806;0.0329421894588713;0.0329421894588713,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.731449371,2.079017492,muncity,Malinao,1,4.05E-05,0.75,60413000
35560,16;47;77;108;138;169;200;228;259,2020-07-16,2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.895476977191607;0.743220906852829;0.0443779578549977;0.138162246329524;0.625918494143083;0.678800555763136;0.161185732759836;0.530066476008616;0.530066476008616,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,1,0.825194038,2.993388614,muncity,New washington,1,4.05E-05,0.75,60415000
25232,9;40;70;101;131;162;193;221;252,2020-07-23,2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.948467004133454;0.422641741814112;0.410313300740849;0.320667100673713;0.295705650865084;0.582592327712436;0.542222196829154;0.363502645261636;0.363502645261636,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.974936037,2.8250584,muncity,Numancia,1,4.05E-05,0.75,60416000
49354,10;41;71;102;132;163;194;222;253,2020-07-22,2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.426957689921573;0.443238674839499;0.851226436361647;0.418965599987593;0;0.56564685213084;0.688900058114299;0.241044479466537;0.241044479466537,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.895916617,1.179940048,muncity,San jose ,0,4.05E-05,0.75,60613000
23309,2;33;64;94;125;155;186;217;245;276,2020-06-29,2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.334738468819437;0.900100432493122;0.0530222893564002;0;0.680594520756745;0.95;0.118827680857258;0.95;0.95;0.95,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.846630313,4.612269253,muncity,Dumalag,2,4.05E-05,0.75,61903000
36513,18;49;80;110;141;171;202;233;261;292,2020-06-13,2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.95;0.294402225620596;0.556741540322683;0.236342015135003;0.581461173438643;0.537502242857743;0.342455757978406;0.95;0.95;0.95,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.887020393,1.589863926,muncity,Dumarao,1,4.05E-05,0.75,61904000
22984,2;33;64;94;125;155;186;217;245;276,2020-06-29,2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.94821471180168;0.772193201234219;0.0410887974859399;0.719099615325176;0.250035632049285;0.541762827653713;0.95;0.399050040225372;0.220721386115535;0.220721386115535,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.816049147,1.82785263,muncity,Ivisan,1,4.05E-05,0.75,61905000
29014,14;44;75;105;136;167;197;228;258;289;320;348;379,2020-03-18,2020-03-31;2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.95;0.944434263777076;0.0325031277869598;0.464148450433319;0.423934746212602;0.293429478226039;0.652104026294882;0.562404046429962;0.903173596669828;0;0.744380520933612;0.221461461006723;0.221461461006723,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.941763986,1.261578731,muncity,Jamindan,1,4.05E-05,0.75,61906000
31361,12;42;73;103;134;165;195;226;256;287;318;346;377,2020-03-20,2020-03-31;2020-04-30;2020-05-31;2020-06-30;2020-07-31;2020-08-31;2020-09-30;2020-10-31;2020-11-30;2020-12-31;2021-01-31;2021-02-28;2021-04-30,0.774512531832594;0.914226867003407;0.901966940611901;0.122712554250224;0;0.24602444805436;0.561041880575638;0.399756214115289;0.755669496075524;0.414385679515345;0.710835142913645;0.152155799087411;0.152155799087411,5,0.325757451,0.18,0.33,0.071428571,0.058331081,0.111821654,0.00172278,0.111821653788081;0.137878787878788;0.124234785740007;0.135840845508237;0.140169478348752;0.135705981139388;0.163402994898799;0.175629119233074;0.151185518823829;0.138760016870519;0.133514664143803;0.202776880852438,1,1,1,2021-02-01,Active,0,0.856276989,2.257033441,muncity,Mambusao,0,4.05E-05,0.75,61908000
